participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.generated_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,centipede_game.1.player.id_in_group,centipede_game.1.player.role,centipede_game.1.player.payoff,centipede_game.1.player.qmee_id,centipede_game.1.player.take,centipede_game.1.player.cumulative_payoff,centipede_game.1.player.altruism,centipede_game.1.player.trust,centipede_game.1.player.risk_tolerance,centipede_game.1.player.greed,centipede_game.1.player.desire_to_win,centipede_game.1.group.id_in_subsession,centipede_game.1.group.treatment,centipede_game.1.group.treatment_order,centipede_game.1.group.starting_position,centipede_game.1.group.node,centipede_game.1.group.round_active,centipede_game.1.group.round_outcome,centipede_game.1.group.last_node,centipede_game.1.group.large_pile_end,centipede_game.1.group.small_pile_end,centipede_game.1.subsession.round_number,centipede_game.2.player.id_in_group,centipede_game.2.player.role,centipede_game.2.player.payoff,centipede_game.2.player.qmee_id,centipede_game.2.player.take,centipede_game.2.player.cumulative_payoff,centipede_game.2.player.altruism,centipede_game.2.player.trust,centipede_game.2.player.risk_tolerance,centipede_game.2.player.greed,centipede_game.2.player.desire_to_win,centipede_game.2.group.id_in_subsession,centipede_game.2.group.treatment,centipede_game.2.group.treatment_order,centipede_game.2.group.starting_position,centipede_game.2.group.node,centipede_game.2.group.round_active,centipede_game.2.group.round_outcome,centipede_game.2.group.last_node,centipede_game.2.group.large_pile_end,centipede_game.2.group.small_pile_end,centipede_game.2.subsession.round_number,centipede_game.3.player.id_in_group,centipede_game.3.player.role,centipede_game.3.player.payoff,centipede_game.3.player.qmee_id,centipede_game.3.player.take,centipede_game.3.player.cumulative_payoff,centipede_game.3.player.altruism,centipede_game.3.player.trust,centipede_game.3.player.risk_tolerance,centipede_game.3.player.greed,centipede_game.3.player.desire_to_win,centipede_game.3.group.id_in_subsession,centipede_game.3.group.treatment,centipede_game.3.group.treatment_order,centipede_game.3.group.starting_position,centipede_game.3.group.node,centipede_game.3.group.round_active,centipede_game.3.group.round_outcome,centipede_game.3.group.last_node,centipede_game.3.group.large_pile_end,centipede_game.3.group.small_pile_end,centipede_game.3.subsession.round_number,centipede_game.4.player.id_in_group,centipede_game.4.player.role,centipede_game.4.player.payoff,centipede_game.4.player.qmee_id,centipede_game.4.player.take,centipede_game.4.player.cumulative_payoff,centipede_game.4.player.altruism,centipede_game.4.player.trust,centipede_game.4.player.risk_tolerance,centipede_game.4.player.greed,centipede_game.4.player.desire_to_win,centipede_game.4.group.id_in_subsession,centipede_game.4.group.treatment,centipede_game.4.group.treatment_order,centipede_game.4.group.starting_position,centipede_game.4.group.node,centipede_game.4.group.round_active,centipede_game.4.group.round_outcome,centipede_game.4.group.last_node,centipede_game.4.group.large_pile_end,centipede_game.4.group.small_pile_end,centipede_game.4.subsession.round_number
1,8eohfg36,Rp01,0,80,80,centipede_game,EndPage,43:10.7,1,,,20,,38ivqg20,,,,,0,1,centipede_game,0,1,,8,Rp01,0,8,,,,,,4,higher_fixed,"higher_fixed,higher_random,control",0,4,0,2,4,500,120,1,1,,2,,0,10,,,,,,4,higher_random,"higher_fixed,higher_random,control",0,2,0,2,2,554,117,2,1,,8,,0,18,,,,,,4,control,"higher_fixed,higher_random,control",0,4,0,2,4,256,64,3,1,,2,,0,20,4,3,4,3,5,4,higher_fixed,"higher_fixed,higher_random,control",0,2,0,2,2,500,120,4
2,kmxchu16,Ra58,0,80,80,centipede_game,EndPage,43:10.2,1,,,11,,38ivqg20,,,,,0,1,centipede_game,0,2,,1,Ra58,0,1,,,,,,8,higher_random,"higher_random,control,higher_fixed",1,1,0,1,1,762,236,1,2,,1,,0,2,,,,,,8,control,"higher_random,control,higher_fixed",1,1,0,1,1,256,64,2,2,,8,,1,10,,,,,,8,higher_fixed,"higher_random,control,higher_fixed",1,2,0,2,2,500,120,3,2,,1,,0,11,4,2,2,4,2,8,higher_random,"higher_random,control,higher_fixed",1,1,0,1,1,209,77,4
3,5oau5wkv,AN70,0,80,80,centipede_game,EndPage,43:10.3,1,,,23,,38ivqg20,,,,,0,1,centipede_game,0,1,,16,AN70,1,16,,,,,,16,higher_random,"higher_random,control,higher_fixed",0,3,0,1,3,869,80,1,1,,2,,0,18,,,,,,16,control,"higher_random,control,higher_fixed",0,2,0,2,2,256,64,2,1,,4,,1,22,,,,,,16,higher_fixed,"higher_random,control,higher_fixed",0,1,0,1,1,500,120,3,2,,1,,0,23,3,2,3,3,3,16,higher_random,"higher_random,control,higher_fixed",0,1,0,1,1,601,235,4
4,5ow627qq,TH63,0,80,80,centipede_game,EndPage,43:10.7,1,,,43,,38ivqg20,,,,,0,1,centipede_game,0,2,,32,TH63,1,32,,,,,,11,higher_random,"higher_random,higher_fixed,control",1,4,0,2,4,230,162,1,2,,8,,1,40,,,,,,11,higher_fixed,"higher_random,higher_fixed,control",1,2,0,2,2,500,120,2,1,,2,,0,42,,,,,,11,control,"higher_random,higher_fixed,control",1,2,0,2,2,256,64,3,2,,1,,0,43,4,4,3,3,4,11,higher_random,"higher_random,higher_fixed,control",1,1,0,1,1,881,1,4
5,wd3dskmg,NO56,0,80,80,centipede_game,EndPage,43:10.3,1,,,22,,38ivqg20,,,,,0,1,centipede_game,0,1,,8,NO56,0,8,,,,,,11,higher_random,"higher_random,higher_fixed,control",1,4,0,2,4,230,162,1,1,,2,,0,10,,,,,,11,higher_fixed,"higher_random,higher_fixed,control",1,2,0,2,2,500,120,2,2,,8,,1,18,,,,,,11,control,"higher_random,higher_fixed,control",1,2,0,2,2,256,64,3,1,,4,,1,22,3,2,3,4,4,11,higher_random,"higher_random,higher_fixed,control",1,1,0,1,1,881,1,4
6,j12y6mat,AC69,0,80,80,centipede_game,EndPage,43:10.3,1,,,17,,38ivqg20,,,,,0,1,centipede_game,0,1,,4,AC69,1,4,,,,,,12,higher_random,"higher_random,control,higher_fixed",2,1,0,1,1,236,191,1,1,,4,,1,8,,,,,,12,control,"higher_random,control,higher_fixed",2,1,0,1,1,256,64,2,2,,8,,1,16,,,,,,12,higher_fixed,"higher_random,control,higher_fixed",2,2,0,2,2,500,120,3,2,,1,,0,17,4,1,4,1,5,12,higher_random,"higher_random,control,higher_fixed",2,1,0,1,1,4,181,4
7,u26mnspf,SO62,0,80,80,centipede_game,EndPage,43:10.5,1,,,8,,38ivqg20,,,,,0,1,centipede_game,0,1,,4,SO62,1,4,,,,,,6,higher_random,"higher_random,control,higher_fixed",2,1,0,1,1,238,131,1,2,,1,,0,5,,,,,,6,control,"higher_random,control,higher_fixed",2,1,0,1,1,256,64,2,2,,1,,0,6,,,,,,6,higher_fixed,"higher_random,control,higher_fixed",2,1,0,1,1,500,120,3,1,,2,,0,8,1,2,4,1,1,6,higher_random,"higher_random,control,higher_fixed",2,2,0,2,2,311,114,4
8,ioqr8841,KE08,0,80,80,centipede_game,EndPage,43:10.4,1,,,10,,38ivqg20,,,,,0,1,centipede_game,0,2,,1,KE08,0,1,,,,,,19,higher_fixed,"higher_fixed,higher_random,control",0,1,0,1,1,500,120,1,1,,4,,1,5,,,,,,19,higher_random,"higher_fixed,higher_random,control",0,1,0,1,1,530,159,2,1,,4,,1,9,,,,,,19,control,"higher_fixed,higher_random,control",0,1,0,1,1,256,64,3,2,,1,,0,10,4,2,3,4,3,19,higher_fixed,"higher_fixed,higher_random,control",0,1,0,1,1,500,120,4
9,dwrozltj,TA64,0,80,80,centipede_game,EndPage,43:10.7,1,,,48,,38ivqg20,,,,,0,1,centipede_game,0,1,,4,TA64,1,4,,,,,,20,higher_fixed,"higher_fixed,control,higher_random",1,1,0,1,1,500,120,1,2,,8,,1,12,,,,,,20,control,"higher_fixed,control,higher_random",1,2,0,2,2,256,64,2,2,,32,,1,44,,,,,,20,higher_random,"higher_fixed,control,higher_random",1,4,0,2,4,341,94,3,1,,4,,1,48,4,2,3,3,3,20,higher_fixed,"higher_fixed,control,higher_random",1,1,0,1,1,500,120,4
10,r50yr0kt,NGB 1955,0,80,80,centipede_game,EndPage,43:10.5,1,,,42,,38ivqg20,,,,,0,1,centipede_game,0,1,,16,NGB 1955,1,16,,,,,,15,higher_fixed,"higher_fixed,control,higher_random",2,3,0,1,3,500,120,1,1,,16,,1,32,,,,,,15,control,"higher_fixed,control,higher_random",2,3,0,1,3,256,64,2,2,,8,,1,40,,,,,,15,higher_random,"higher_fixed,control,higher_random",2,2,0,2,2,491,214,3,1,,2,,0,42,5,5,3,4,4,15,higher_fixed,"higher_fixed,control,higher_random",2,2,0,2,2,500,120,4
