participant_id,participant_label,round,group_id,role,treatment,node_reached,payoff,treatment_order,large_pile_end,small_pile_end,altruism,trust,risk_tolerance,greed,desire_to_win
24,Ja40,1,1,1,higher_random,1,4,"higher_random,higher_fixed,control",589,62,3,2,4,3,4
35,Ta32,1,1,2,higher_random,1,1,"higher_random,higher_fixed,control",589,62,1,1,1,1,1
24,Ja40,2,1,1,higher_fixed,1,4,"higher_random,higher_fixed,control",500,120,3,2,4,3,4
35,Ta32,2,1,2,higher_fixed,1,1,"higher_random,higher_fixed,control",500,120,1,1,1,1,1
24,Ja40,3,1,1,control,1,4,"higher_random,higher_fixed,control",256,64,3,2,4,3,4
35,Ta32,3,1,2,control,1,1,"higher_random,higher_fixed,control",256,64,1,1,1,1,1
35,Ta32,4,1,1,higher_random,6,366,"higher_random,higher_fixed,control",366,48,1,1,1,1,1
24,Ja40,4,1,2,higher_random,6,48,"higher_random,higher_fixed,control",366,48,3,2,4,3,4
42,AI27,1,2,1,control,2,2,"control,higher_random,higher_fixed",256,64,5,3,4,4,3
38,Ro64,1,2,2,control,2,8,"control,higher_random,higher_fixed",256,64,0,0,0,0,0
42,AI27,2,2,1,higher_random,1,4,"control,higher_random,higher_fixed",490,10,5,3,4,4,3
38,Ro64,2,2,2,higher_random,1,1,"control,higher_random,higher_fixed",490,10,0,0,0,0,0
38,Ro64,3,2,1,higher_fixed,2,2,"control,higher_random,higher_fixed",500,120,0,0,0,0,0
42,AI27,3,2,2,higher_fixed,2,8,"control,higher_random,higher_fixed",500,120,5,3,4,4,3
42,AI27,4,2,1,control,1,4,"control,higher_random,higher_fixed",256,64,5,3,4,4,3
38,Ro64,4,2,2,control,1,1,"control,higher_random,higher_fixed",256,64,0,0,0,0,0
21,RE46,1,3,1,control,2,2,"control,higher_fixed,higher_random",256,64,4,3,4,2,4
41,KA63,1,3,2,control,2,8,"control,higher_fixed,higher_random",256,64,3,4,3,3,2
41,KA63,2,3,1,higher_fixed,2,2,"control,higher_fixed,higher_random",500,120,3,4,3,3,2
21,RE46,2,3,2,higher_fixed,2,8,"control,higher_fixed,higher_random",500,120,4,3,4,2,4
41,KA63,3,3,1,higher_random,1,4,"control,higher_fixed,higher_random",396,201,3,4,3,3,2
21,RE46,3,3,2,higher_random,1,1,"control,higher_fixed,higher_random",396,201,4,3,4,2,4
21,RE46,4,3,1,control,1,4,"control,higher_fixed,higher_random",256,64,4,3,4,2,4
41,KA63,4,3,2,control,1,1,"control,higher_fixed,higher_random",256,64,3,4,3,3,2
1,Rp01,1,4,1,higher_fixed,4,8,"higher_fixed,higher_random,control",500,120,4,3,4,3,5
16,CN02,1,4,2,higher_fixed,4,32,"higher_fixed,higher_random,control",500,120,5,3,1,3,3
1,Rp01,2,4,1,higher_random,2,2,"higher_fixed,higher_random,control",554,117,4,3,4,3,5
16,CN02,2,4,2,higher_random,2,8,"higher_fixed,higher_random,control",554,117,5,3,1,3,3
1,Rp01,3,4,1,control,4,8,"higher_fixed,higher_random,control",256,64,4,3,4,3,5
16,CN02,3,4,2,control,4,32,"higher_fixed,higher_random,control",256,64,5,3,1,3,3
1,Rp01,4,4,1,higher_fixed,2,2,"higher_fixed,higher_random,control",500,120,4,3,4,3,5
16,CN02,4,4,2,higher_fixed,2,8,"higher_fixed,higher_random,control",500,120,5,3,1,3,3
40,ZZ99,1,5,1,higher_fixed,2,2,"higher_fixed,control,higher_random",500,120,3,3,3,3,3
39,Az 41,1,5,2,higher_fixed,2,8,"higher_fixed,control,higher_random",500,120,5,2,2,1,5
40,ZZ99,2,5,1,control,1,4,"higher_fixed,control,higher_random",256,64,3,3,3,3,3
39,Az 41,2,5,2,control,1,1,"higher_fixed,control,higher_random",256,64,5,2,2,1,5
40,ZZ99,3,5,1,higher_random,1,4,"higher_fixed,control,higher_random",570,55,3,3,3,3,3
39,Az 41,3,5,2,higher_random,1,1,"higher_fixed,control,higher_random",570,55,5,2,2,1,5
40,ZZ99,4,5,1,higher_fixed,1,4,"higher_fixed,control,higher_random",500,120,3,3,3,3,3
39,Az 41,4,5,2,higher_fixed,1,1,"higher_fixed,control,higher_random",500,120,5,2,2,1,5
7,SO62,1,6,1,higher_random,1,4,"higher_random,control,higher_fixed",238,131,1,2,4,1,1
28,Ek61,1,6,2,higher_random,1,1,"higher_random,control,higher_fixed",238,131,3,2,5,4,4
28,Ek61,2,6,1,control,1,4,"higher_random,control,higher_fixed",256,64,3,2,5,4,4
7,SO62,2,6,2,control,1,1,"higher_random,control,higher_fixed",256,64,1,2,4,1,1
28,Ek61,3,6,1,higher_fixed,1,4,"higher_random,control,higher_fixed",500,120,3,2,5,4,4
7,SO62,3,6,2,higher_fixed,1,1,"higher_random,control,higher_fixed",500,120,1,2,4,1,1
7,SO62,4,6,1,higher_random,2,2,"higher_random,control,higher_fixed",311,114,1,2,4,1,1
28,Ek61,4,6,2,higher_random,2,8,"higher_random,control,higher_fixed",311,114,3,2,5,4,4
11,RA92,1,7,1,higher_fixed,3,16,"higher_fixed,control,higher_random",500,120,1,1,2,2,1
25,ME90,1,7,2,higher_fixed,3,4,"higher_fixed,control,higher_random",500,120,3,3,3,4,4
11,RA92,2,7,1,control,1,4,"higher_fixed,control,higher_random",256,64,1,1,2,2,1
25,ME90,2,7,2,control,1,1,"higher_fixed,control,higher_random",256,64,3,3,3,4,4
25,ME90,3,7,1,higher_random,2,2,"higher_fixed,control,higher_random",830,72,3,3,3,4,4
11,RA92,3,7,2,higher_random,2,8,"higher_fixed,control,higher_random",830,72,1,1,2,2,1
11,RA92,4,7,1,higher_fixed,1,4,"higher_fixed,control,higher_random",500,120,1,1,2,2,1
25,ME90,4,7,2,higher_fixed,1,1,"higher_fixed,control,higher_random",500,120,3,3,3,4,4
